index,Id,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderSeason
0,10248,VINET,5,2012-07-04,2012-08-01,2012-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,Summer
1,10249,TOMSP,6,2012-07-05,2012-08-16,2012-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,Summer
2,10250,HANAR,4,2012-07-08,2012-08-05,2012-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,Summer
3,10251,VICTE,3,2012-07-08,2012-08-05,2012-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,Summer
4,10252,SUPRD,4,2012-07-09,2012-08-06,2012-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,Summer
5,10253,HANAR,3,2012-07-10,2012-07-24,2012-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,Summer
6,10254,CHOPS,5,2012-07-11,2012-08-08,2012-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,Summer
7,10255,RICSU,9,2012-07-12,2012-08-09,2012-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland,Summer
8,10256,WELLI,3,2012-07-15,2012-08-12,2012-07-17,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil,Summer
9,10257,HILAA,4,2012-07-16,2012-08-13,2012-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,Summer
10,10258,ERNSH,1,2012-07-17,2012-08-14,2012-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,Summer
11,10259,CENTC,4,2012-07-18,2012-08-15,2012-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico,Summer
12,10260,OTTIK,4,2012-07-19,2012-08-16,2012-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,Summer
13,10261,QUEDE,4,2012-07-19,2012-08-16,2012-07-30,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,Summer
14,10262,RATTC,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,Summer
15,10263,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,Summer
16,10264,FOLKO,6,2012-07-24,2012-08-21,2012-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,Summer
17,10265,BLONP,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,Summer
18,10266,WARTH,3,2012-07-26,2012-09-06,2012-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,Summer
19,10267,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,Summer
20,10268,GROSR,8,2012-07-30,2012-08-27,2012-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,Summer
21,10269,WHITC,5,2012-07-31,2012-08-14,2012-08-09,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,Summer
22,10270,WARTH,1,2012-08-01,2012-08-29,2012-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,Summer
23,10271,SPLIR,6,2012-08-01,2012-08-29,2012-08-30,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,Summer
